mag_x,mag_y,mag_z,mag_h,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-14.5,-2.6875,-40.3125,42.92517,-0.13453498,0.476992,10.737027,-0.24061109,0.51529104,1.0806206
-14.3125,-4.375,-40.1875,42.883835,0.21301691,1.9149783,11.354952,-0.41414917,-0.15863298,1.3286842
-15.4375,-2.25,-39.625,42.585438,0.6335536,2.1295083,9.815413,0.46951103,-0.08304276,0.24167573
-18.0,-4.625,-38.3125,42.582134,-0.2628642,0.59016114,10.375656,0.1884432,-0.23422319,0.52700216
-14.625,-4.8125,-39.9375,42.80251,0.52747136,0.019115306,10.541114,0.35346407,-0.5653296,-0.56745887
-16.8125,-0.3125,-39.8125,43.21797,0.2360204,1.7222642,8.456579,0.29064968,0.19163716,-0.18311994
-10.1875,-3.75,-42.375,43.74344,-1.3539115,3.4060488,11.259605,0.026616272,-0.38220966,1.0412285
-12.375,-3.25,-42.375,44.264477,0.086219996,2.5558581,7.1036825,0.5834287,0.7814537,0.14266321
-23.375,-1.0625,-39.0,45.48098,0.39716935,3.416497,9.650874,0.09262462,-0.37049848,-0.026616272
-24.3125,-0.4375,-37.1875,44.43196,1.5434365,2.7942343,9.571885,-0.011711159,-0.71651,-0.49186867
-26.0,-2.375,-35.1875,43.815533,1.1353592,1.7899435,9.882537,-0.014905112,0.38433895,-0.29064968
