mag_x,mag_y,mag_z,mag_h,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,degree
18.375,-7.9375,-39.3125,44.11482,1.6817831,1.4997088,8.691374,-0.06600835,-0.12669346,0.045779984,-94.39892
19.0,-7.9375,-38.8125,43.936478,0.4748085,1.4885517,10.198284,-0.58768725,0.7122514,-0.53232545,-96.55479
18.625,-8.9375,-38.8125,43.967937,0.4428411,1.6114701,9.761879,-0.04045673,0.11604694,-0.08943067,-97.405785
19.8125,-11.6875,-37.5625,44.046272,0.2564573,1.5709411,9.803269,0.011711159,0.017034413,0.12243485,-105.28957
14.875,-10.9375,-39.9375,43.998844,0.19629581,1.5281231,10.2120075,0.27042133,0.29703757,0.134146,-107.56636
15.5625,-7.125,-40.9375,44.371567,-1.0036877,0.71946716,9.144922,-0.3768864,-0.4460887,0.5057092,-109.04408
13.9375,-9.1875,-41.3125,44.55768,-0.59074533,0.26595747,9.773352,-0.78358305,0.30129617,0.59407514,-125.152954
18.5,-15.75,-37.4375,44.63047,-0.1912584,0.9940821,10.928639,0.44821802,-0.37156314,-0.536584,-124.50675
19.0,-15.0625,-37.625,44.760693,2.0111294E-4,-1.322059,11.544678,0.93156946,0.6153682,-0.09368927,-135.36661
20.875,-13.125,-37.4375,44.828537,-0.57830507,0.079018235,8.238783,0.010646508,0.071331605,-0.084107414,-125.01626
20.9375,-11.5,-38.0,44.884617,0.24215913,1.447295,9.3513975,-0.1863139,0.29064968,0.058555797,-104.43169
20.0,-8.5625,-39.5,45.09508,-1.0847936,-0.38602194,11.546421,-0.1884432,0.018099064,0.04045673,-121.47475
21.625,-6.5,-38.9375,45.011326,-1.0914208,-0.64352316,8.677105,-0.26296875,-0.17247343,-0.27148595,-119.82769
20.5,-8.875,-38.9375,44.89036,-0.92195916,0.25318202,9.5088215,-0.30981338,0.19376646,-0.008517207,-115.08559
20.25,-6.0,-39.5,44.79188,-0.20083521,0.1472817,11.572498,0.5003859,-0.1362753,-0.32684782,-105.68376
20.0,-5.4375,-39.875,44.93976,0.3287718,-0.43609905,9.258703,-0.2597748,0.07878416,-0.16182692,-108.76607
18.25,-7.3125,-40.3125,44.85123,0.32089007,0.5578682,9.396035,0.018099064,0.103271134,-0.23422319,-104.16334
17.6875,-7.0625,-40.25,44.52852,0.11217314,-0.76848125,12.5607195,-0.054297194,-0.056426495,0.32684782,-117.757095
15.3125,-6.125,-41.25,44.424664,-0.65986115,-0.38863638,8.881914,-0.22144738,-0.0021293017,0.16182692,-123.09859
